,ids,scores,username,tiktok_username,instagram_username,follower_count,following_count
0,63348c829133d3432093c89f,24.93,harryrein9,ZTR5G8vu1,harryrein,342,498
1,63348c829133d3432093c8a0,82.76,gucciwestman,,gucciwestman,292541,2184
2,63348c829133d3432093c8a1,6.0,jobakerold,,missjobaker,160977,5068
3,63348c829133d3432093c8a2,6.0,Whatsonvisface,,whatsonvisface,160652,1133
4,63348c829133d3432093c8a3,14.74,Blonde25,,Blonde25,61157,5096
5,63348c829133d3432093c8a4,4.0,makeupbymila,,makeupbymila,88765,3084
6,63348c829133d3432093c8a5,81.11,tiffany,,tifflopinsky,1180,988
7,63348c829133d3432093c8a6,9.25,adamburrell,,adamburrell,140791,2564
8,63348c829133d3432093c8a7,92.76,shereeneidriss,shereeneidriss,shereeneidriss,441413,1572
9,63348c829133d3432093c8a8,12.95,shawnjohnson,shawnjohnson,shawnjohnson,3685618,3590
10,63348c829133d3432093c8a9,12.0,chrisappleton,,chrisappleton1,3033210,351
11,63348c829133d3432093c8aa,10.31,georgieeisdell,,georgieeisdell,70286,1292
12,63348c829133d3432093c8ab,8.5,florido,,florido,154016,1824
13,63348c829133d3432093c8ac,57.08,monikablunder,,monikablunder,126425,520
14,63348c829133d3432093c8ad,15.0,quinnmurphy,,quinnmurphy,50695,1555
15,63348c829133d3432093c8ae,18.54,kiyahwright,,kiyahwright1,79386,1460
16,63348c829133d3432093c8af,83.35,katiejanehughes,katiejanehughes,katiejanehughes,797213,2787
17,63348c829133d3432093c8b0,4.25,addisonrae,addisonre,,None,None
18,63348c829133d3432093c8b1,8.5,marktownsend,,marktownsend1,81364,1282
19,63348c829133d3432093c8b2,16.52,mandymadd,,mandymadd,135403,7502
20,63348c829133d3432093c8b3,6.25,geoffreyrodriguez,,grbeauty_official,1057,1116
21,63348c829133d3432093c8b4,7.5,aprilchaney,,lirpamakeup,5373,996
22,63348c829133d3432093c8b5,8.75,ashuntasheriff,,ashuntasheriff,None,None
23,63348c829133d3432093c8b6,7.75,tymwallacehair,,tymwallacehair,88237,6698
24,63348c829133d3432093c8b7,8.25,raychristopher,,hair4kicks,142992,1050
25,63348c829133d3432093c8b8,23.44,jaleesajaikaran,,jaleesajaikaran,33710,3188
26,63348c829133d3432093c8b9,6.0,brianduprey,,brianduprey,5400,2432
27,63348c829133d3432093c8ba,7.75,danessamyricks,,danessa_myricks,856504,3127
28,63348c829133d3432093c8bb,54.59,ashkholm,ash_kholm,ash_kholm,1127253,1128
29,63348c829133d3432093c8bc,6.0,louisangelo,,louisangelo,5936,3450
30,63348c829133d3432093c8bd,7.0,irismoreau,,irismoreaubeauty,15818,1740
31,63348c829133d3432093c8be,12.44,jennycho,,jennychohair,108962,2149
32,63348c829133d3432093c8bf,6.25,rachelgoodwin,,rachelgoodwinmakeup,113452,4710
33,63348c829133d3432093c8c0,80.26,jennyliu,drjennyliu,derm.talk,353194,298
34,63348c829133d3432093c8c1,6.0,diorsovoa,,diorsovoa,23877,1736
35,63348c829133d3432093c8c2,25.43,patidubroff,,patidubroff,276147,1574
36,63348c829133d3432093c8c3,4.0,seanfears,,seanchristopherfears,55977,1787
37,63348c829133d3432093c8c4,8.75,mararoszak,,mararoszak,83788,1349
38,63348c829133d3432093c8c5,6.25,marcusfrancis,,marcusrfrancis,64002,1593
39,63348c829133d3432093c8c6,11.19,kateleemakeup,,kateleemakeup,126811,1773
40,63348c829133d3432093c8c7,22.06,yolondafrederick,,yolondafrederick,72144,2357
41,63348c829133d3432093c8c8,6.0,ursulastephen,,ursulastephen,114525,1157
42,63348c829133d3432093c8c9,7.0,karayoshimotobua,,karayoshimotobua,46567,1935
43,63348c829133d3432093c8ca,6.5,damoneroberts,,damoneroberts,103569,400
44,63348c829133d3432093c8cb,4.0,bostonfoodies,,bostonfoodies,None,None
45,63348c829133d3432093c8cc,11.0,melaniemakeup,,melaniemakeup,82317,1496
46,63348c829133d3432093c8cd,6.0,gsbeaute,,gsbeaute,9024,4729
47,63348c829133d3432093c8ce,6.0,sarahredzikowski,,beautybysarah,73954,1739
48,63348c829133d3432093c8cf,6.25,michaelduenas,,michaelduenas,67362,2753
49,63348c829133d3432093c8d0,8.25,sunniebrook,,sunniebrook,102076,3232
50,63348c829133d3432093c8d1,37.75,naomiknights,,naomi_knights,2041,674
51,63348c829133d3432093c8d2,17.31,mollyrstern,,mollyrstern,68680,3736
52,63348c829133d3432093c8d3,16.1,paprisarkar.md,,paprisarkar.md,8333,717
53,63348c829133d3432093c8d4,7.25,laurapolko,,laurapolko,167603,1427
54,63348c829133d3432093c8d5,7.5,michellesaunders,,michellesaundersjames,10281,3101
55,63348c829133d3432093c8d6,10.0,cesar4styles,,cesar4styles,376975,7029
56,63348c829133d3432093c8d7,6.25,merrellhollis,,merrellhollis,63999,2248
57,63348c829133d3432093c8d8,7.25,wendyiles,,wendyiles_hair,83907,1306
58,63348c829133d3432093c8d9,12.6,makeupforwomenofcolor,,makeupforwomenofcolor,185353,1648
59,63348c829133d3432093c8da,12.44,adirabergel,,hairbyadir,794042,4649
60,63348c829133d3432093c8db,24.08,tombachik,,tombachik,549437,3943
61,63348c829133d3432093c8dc,7.25,peterbutlerhair,,peterbutlerhair,16553,5609
62,63348c829133d3432093c8dd,26.99,jehnnafoster,,jehnnafoster,2926,2341
63,63348c829133d3432093c8de,47.68,delinamedhin,,delinamedhin,60925,1601
64,63348c829133d3432093c8df,6.0,epicuren,,,None,None
65,63348c829133d3432093c8e0,4.0,roseandben,,roseandben,989365,455
66,63348c829133d3432093c8e1,16.04,andreatiller,,andrea_tiller,30916,2910
67,63348c829133d3432093c8e2,10.5,jostrettell,,jostrettell,11591,1413
68,63348c829133d3432093c8e3,49.81,emryan,,emjeanryan,1482,1005
69,63348c829133d3432093c8e4,16.5,davidlopez,,davidlopezzz,132973,3001
70,63348c829133d3432093c8e5,8.25,natalieaguilar,,n4skincare,11764,736
71,63348c829133d3432093c8e6,25.78,reneeloiz,,reneeloizmakeup,17222,5016
72,63348c829133d3432093c8e7,6.25,scottking,,scottkinghair,48695,952
73,63348c829133d3432093c8e8,6.0,scottycunha,,thescottycunha,413956,280
74,63348c829133d3432093c8e9,57.22,kateydenno,,kateydenno,148849,2706
75,63348c829133d3432093c8ea,96.03,namvo,namvoglow,namvo,385075,1617
76,63348c829133d3432093c8eb,4.0,linnebotanicals,,linnebotanicals,21064,2256
77,63348c829133d3432093c8ec,27.66,shanidarden,,shanidarden,300737,1194
78,63348c829133d3432093c8ed,29.81,dendyengelman,,drdendy,30122,1854
79,63348c829133d3432093c8ee,11.19,kdeenihan,,kdeenihan,219839,1314
80,63348c829133d3432093c8ef,6.0,ashleygraham,,ashleygraham,19183343,653
81,63348c829133d3432093c8f0,6.0,hilaryrhoda,,hilaryrhoda,504291,891
82,63348c829133d3432093c8f1,6.5,sarahmaxwell,,sarahmaxwellbeauty,18201,251
83,63348c829133d3432093c8f2,10.23,andrewfitzsimons,,andrewfitzsimons,648186,772
84,63348c829133d3432093c8f3,6.25,justinanderson,,justinanderson,546181,961
85,63348c829133d3432093c8f4,8.0,nataliabruschi,,nataliabruschi,79833,613
86,63348c829133d3432093c8f5,17.04,joannavargas,,joannavargasnyc,110592,2165
87,63348c829133d3432093c8f6,10.25,laradevgan,,laradevganmd,842275,482
88,63348c829133d3432093c8f7,6.25,kelleybaker,,kelleybakerbrows,623193,6075
89,63348c829133d3432093c8f8,36.92,harriethadfield,,harrymakesitup,32730,4606
90,63348c829133d3432093c8f9,6.25,fredericfekkai,,fredericfekkai,12026,1657
91,63348c829133d3432093c8fa,39.72,mollysims,,mollybsims,790012,1159
92,63348c829133d3432093c8fb,6.5,josephmaine,joseph.maine,josephmaine,109362,939
93,63348c829133d3432093c8fc,4.0,thewallgroup,,thewallgroup,250376,2831
94,63348c829133d3432093c8fd,41.73,elizabethhoushmand,,houshmandmd,68401,746
95,63348c829133d3432093c8fe,69.81,dr.mamina,dr.mamina,dr.mamina,251601,1947
96,63348c829133d3432093c8ff,43.77,dr.tomassian,dr.tomassian,dr.tomassian,401845,795
97,63348c829133d3432093c900,93.01,charlotteparler,charlotteparler,charlotteparler,256892,2552
98,63348c829133d3432093c901,97.57,dermdoctor,dermdoctor,doctorly,859706,1562
99,63348c829133d3432093c902,8.75,amykomorowski,,akgroomer,12602,2090
